Playlist-ID,Title,Language,Label,isTruthWorthy
7cXKyCGQxrbV4JYwfZebUK,Calm Hindi Music,hindi,calm,1
0dsl5hbFdVT7scb7Vakkwa,Hindi  calming songs,hindi,calm,1
6WiMSiEX3FleOOQimEKzVQ,Slow and Calm Hindi Songs,hindi,calm,1
0J2Io2I47rfYsdir02OA3i,PEACEFUL Hindi songs,hindi,calm,1
292Eo8OzviSLWzysUfMdho,Soothing calm hindi songs 😌,hindi,calm,1
75zsHDZ94uFFoF1rK4ANvU,LOFi Music (Hindi + English),hindi,calm,1
19deN7iQwMUydOeUT97LoS,Good Night Sleep (HINDI),hindi,calm,1
3i95xNsWs3TE4zKfOoGchd,Hindies,hindi,calm,1
7wA1hYYJyi2LX4BwtmziJR,Hindi study session ,hindi,calm,1
7GIH9ExykjbjI4N81GUF8l,Punjabi Calming Songs,hindi,calm,1
2PJ9gI0ok4Eaql5Myg2rXV,hindi calm but not depressing ,hindi,calm,1
03vWV1OJ5ddyFh05GpTrkl,Hindi old songs covers | Bollywood classics renewed | Bollywood Oldies | Soft Bollywood old songs | Calm roadtrip hindi ,hindi,calm,1
6Y31lcyZP40cdFS7RZHAWo,Hindi Romantic/Soothing,hindi,calm,1
3AXmnGJ6RhdbtRrNavOG2g,Clam/Sleep Songs (Hindi),hindi,calm,1
6wvjRUrYdr8CAYvj3Yb9v5,Calming Hindi💗 ,hindi,calm,1
56Zwfo7tf0tLQwTNVDhdaI,Hindi Calm 😌,hindi,calm,1
5PBTbWsW8sEKIzpRhP09fx,Calming silent hindi songs before sleep,hindi,calm,1
6oXpnfyh2iygnt9b8xtPch,Sukoon✨💫,hindi,calm,1
3DElbyvnyxBsXBS2lLMaue,Hindi Calm,hindi,calm,1
7hEqJ4mKxRdh5BbNv67gMC,Calm hindi,hindi,calm,1
